scheme_name,amc_name,fund_manager,min_sip,min_lumpsum,expense_ratio,fund_size,fund_age,category,sub_category,rating,effective_return,sharpe,sortino,risk_level_score,risk_level,fund_score
Canara Robeco Emerging Equities – Direct Growth,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,1000,5000,0.6,15261.0,10,Equity,Large & Mid Cap Funds,3,12.6,1.47,3.36,6,High,0.38888744410290554
Canara Robeco Equity Hybrid Fund,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,1000,5000,0.63,8235.0,10,Hybrid,Aggressive Hybrid Mutual Funds,4,12.2,1.4,3.25,6,High,0.4215776948465506
Canara Robeco Equity Tax Saver Fund,Canara Robeco Mutual Fund,Vishal Mishra,500,500,0.64,4685.0,10,Equity,ELSS Mutual Funds,5,15.5,1.51,3.08,6,High,0.477177987220284
Canara Robeco Flexi Cap Fund,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,1000,5000,0.55,8630.0,10,Equity,Flexi Cap Funds,4,13.8,1.39,2.84,6,High,0.4272903555478379
Canara Robeco Gilt Fund,Canara Robeco Mutual Fund,Kunal Jain,1000,5000,0.54,80.0,10,Debt,Gilt Mutual Funds,3,7.0,0.43,0.55,3,Medium,0.2828261669871956
Canara Robeco Income Fund,Canara Robeco Mutual Fund,Avnish Jain,1000,5000,0.75,125.0,10,Debt,Medium to Long Duration Funds,3,7.0,0.45,0.69,3,Medium,0.2822106850763297
Canara Robeco Infrastructure – Direct Growth,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,1000,5000,1.32,247.0,10,Equity,Sectoral / Thematic Mutual Funds,3,12.2,1.8,3.99,6,High,0.3673139755026874
Canara Robeco Liquid Fund,Canara Robeco Mutual Fund,Kunal Jain,1000,5000,0.11,2548.0,10,Debt,Liquid Mutual Funds,2,5.1,0.47,3.04,2,Low,0.2781595983480769
Canara Robeco Overnight Fund,Canara Robeco Mutual Fund,Suman Prasad,0,5000,0.1,216.0,4,Debt,Overnight Mutual Funds,2,3.9,0.0,0.03,1,Low,0.1846556049416869
Canara Robeco Savings Fund,Canara Robeco Mutual Fund,Kunal Jain,1000,5000,0.31,1003.0,10,Debt,Low Duration Funds,2,5.9,1.12,2.24,2,Low,0.2901858681931812
Canara Robeco Short Duration Fund,Canara Robeco Mutual Fund,Suman Prasad,1000,5000,0.47,520.0,10,Debt,Short Duration Funds,3,6.5,0.87,1.68,2,Low,0.3137513001384473
Canara Robeco Small Cap Fund,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,1000,5000,0.47,4831.0,4,Equity,Small Cap Mutual Funds,5,51.8,2.17,4.62,6,High,0.6706009124331297
Canara Robeco Ultra Short Term Fund,Canara Robeco Mutual Fund,Suman Prasad,500,500,0.4,565.0,10,Debt,Ultra Short Duration Funds,2,5.3,0.84,2.11,2,Low,0.2719566584013678
DSP Arbitrage Fund,DSP Mutual Fund,Kedar Karnik,500,500,0.35,1238.0,5,Hybrid,Arbitrage Mutual Funds,3,5.4,0.82,1.08,1,Low,0.2784924319419013
DSP Banking & Psu Debt Fund,DSP Mutual Fund,Vikram Chopra,500,500,0.33,2463.0,10,Debt,Banking and PSU Mutual Funds,3,6.9,0.84,1.59,2,Low,0.32456758145309955
DSP Bond Fund,DSP Mutual Fund,Vivek Ramakrishnan,500,500,0.39,333.0,10,Debt,Medium Duration Funds,3,4.9,0.62,0.98,3,Medium,0.2911040470690804
DSP Corporate Bond Fund,DSP Mutual Fund,Vivek Ramakrishnan,500,500,0.25,2065.0,5,Debt,Corporate Bond Mutual Funds,2,5.6,0.45,0.59,3,Medium,0.22731160606189854
DSP Credit Risk Fund,DSP Mutual Fund,Laukik Bagwe,500,500,0.38,210.0,10,Debt,Credit Risk Funds,3,4.5,0.58,1.23,4,Medium,0.28680083608440404
DSP Dynamic Asset Allocation Fund,DSP Mutual Fund,Atul Bhole,500,500,0.71,3770.0,9,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3,8.3,1.03,2.7,5,High,0.333377611928769
DSP Equity & Bond Fund,DSP Mutual Fund,Atul Bhole,500,500,0.78,7358.0,10,Hybrid,Aggressive Hybrid Mutual Funds,3,10.7,1.25,2.7,6,High,0.3604530053895217
DSP Equity Opportunities Fund,DSP Mutual Fund,Rohit Singhania,500,500,0.91,7110.0,10,Equity,Large & Mid Cap Funds,3,11.7,1.4,2.87,6,High,0.36793948480989935
DSP Equity Savings Fund,DSP Mutual Fund,Kedar Karnik,500,500,0.4,535.0,7,Hybrid,Equity Savings Mutual Funds,2,7.8,1.75,3.55,4,Medium,0.30565321481369545
DSP Flexi Cap Fund,DSP Mutual Fund,Atul Bhole,500,500,0.76,7725.0,10,Equity,Flexi Cap Funds,3,12.0,1.23,2.56,6,High,0.3648068617182131
DSP Floater Fund,DSP Mutual Fund,Kedar Karnik,500,500,0.24,983.0,2,Debt,Floater Mutual Funds,1,4.4,1.29,2.87,2,Low,0.19943882789863965
DSP Focus Fund,DSP Mutual Fund,Vinit Sambre,500,500,1.08,1784.0,10,Equity,Focused Funds,2,8.9,1.11,2.4,6,High,0.28930820582650674
DSP Global Allocation Fund,DSP Mutual Fund,Jay Kothari,500,500,1.43,70.0,9,Other,FoFs Overseas,0,7.9,0.67,1.15,6,High,0.15262230794583032
DSP G-Sec Fund,DSP Mutual Fund,Vikram Chopra,500,500,0.54,430.0,10,Debt,Gilt Mutual Funds,4,8.6,0.64,0.93,3,Medium,0.34974234985447716
DSP Healthcare Fund,DSP Mutual Fund,Vinit Sambre,500,500,1.04,1197.0,4,Equity,Sectoral / Thematic Mutual Funds,0,26.9,1.19,2.42,6,High,0.2695635882507026
DSP India T.I.G.E.R. Fund,DSP Mutual Fund,Rohit Singhania,500,500,1.34,1797.0,10,Equity,Sectoral / Thematic Mutual Funds,3,11.9,1.78,3.58,6,High,0.3715097518187347
DSP Liquidity Fund,DSP Mutual Fund,Kedar Karnik,500,500,0.15,13582.0,10,Debt,Liquid Mutual Funds,3,5.3,0.83,4.19,3,Medium,0.34748715649851253
DSP Low Duration Fund,DSP Mutual Fund,Karan Mundhara,500,500,0.3,3340.0,8,Debt,Low Duration Funds,2,6.3,1.4,3.06,2,Low,0.30156307469128807
DSP Midcap Fund,DSP Mutual Fund,Vinit Sambre,500,500,0.77,13213.0,10,Equity,Mid Cap Mutual Funds,2,9.5,1.2,2.26,6,High,0.3112009362362308
DSP Natural Resources & New Energy – Direct Growth,DSP Mutual Fund,Rohit Singhania,500,500,1.21,673.0,10,Equity,Sectoral / Thematic Mutual Funds,0,12.0,1.39,2.31,6,High,0.22501545271119028
DSP Nifty 50 Equal Weight Index Fund,DSP Mutual Fund,Anil Ghelani,500,500,0.4,498.0,5,Other,Index Funds,3,10.7,1.51,3.22,6,High,0.3334109024138947
DSP Nifty 50 Index Fund,DSP Mutual Fund,Anil Ghelani,500,500,0.24,271.0,4,Other,Index Funds,3,25.8,1.3,3.43,6,High,0.4026701664080275
DSP Nifty Next 50 Index Fund,DSP Mutual Fund,Anil Ghelani,500,500,0.32,227.0,4,Other,Index Funds,2,21.8,0.97,1.68,6,High,0.3146659768289279
DSP Overnight Fund,DSP Mutual Fund,Kedar Karnik,500,500,0.06,2754.0,4,Debt,Overnight Mutual Funds,4,3.9,0.12,0.73,1,Low,0.2874997763769314
DSP Regular Savings Fund,DSP Mutual Fund,Vikram Chopra,500,500,0.51,199.0,10,Hybrid,Conservative Hybrid Mutual Funds,2,6.0,1.55,2.68,3,Medium,0.2955307961936479
DSP Savings Fund,DSP Mutual Fund,Kedar Karnik,500,500,0.25,3903.0,10,Debt,Money Market Funds,2,5.9,1.15,1.82,3,Medium,0.2962406049204124
DSP Short Term Fund,DSP Mutual Fund,Laukik Bagwe,500,500,0.3,2821.0,10,Debt,Short Duration Funds,2,6.7,0.96,1.75,2,Low,0.29005188195713993
DSP Small Cap Fund,DSP Mutual Fund,Vinit Sambre,500,500,0.9,8953.0,10,Equity,Small Cap Mutual Funds,2,12.5,1.78,3.38,6,High,0.34953560096677905
DSP Strategic Bond Fund,DSP Mutual Fund,Vikram Chopra,500,500,0.47,481.0,10,Debt,Dynamic Bond,3,7.3,0.41,0.48,2,Low,0.293148731171082
DSP Tax Saver Fund,DSP Mutual Fund,Rohit Singhania,500,500,0.81,10129.0,10,Equity,ELSS Mutual Funds,4,13.3,1.51,3.19,6,High,0.42641861622188304
DSP Top 100 Equity Fund,DSP Mutual Fund,Abhishek Singh,500,500,1.27,2605.0,10,Equity,Large Cap Mutual Funds,1,8.9,1.18,2.98,6,High,0.25425950430205013
DSP Ultra Short Fund,DSP Mutual Fund,Kedar Karnik,500,500,0.3,2736.0,10,Debt,Ultra Short Duration Funds,3,5.5,1.54,3.54,2,Low,0.357137344773812
DSP US Flexible Equity Fund,DSP Mutual Fund,Jay Kothari,500,500,1.52,770.0,10,Other,FoFs Overseas,0,13.6,1.1,1.95,6,High,0.21827868694784774
DSP World Gold Fund,DSP Mutual Fund,Jay Kothari,500,500,1.81,777.0,10,Other,FoFs Overseas,0,10.2,0.4,1.11,6,High,0.1566389576697862
DSP World Mining Fund,DSP Mutual Fund,Jay Kothari,500,500,1.5,188.0,10,Other,FoFs Overseas,0,15.0,1.08,1.68,6,High,0.21176115833175474
Edelweiss Aggressive Hybrid Fund,Edelweiss Mutual Fund,Bharat Lahoti,500,5000,0.36,469.0,10,Hybrid,Aggressive Hybrid Mutual Funds,4,13.0,1.72,3.83,6,High,0.4313223804380735
Edelweiss Arbitrage Fund,Edelweiss Mutual Fund,Bhavesh Jain,500,5000,0.37,5393.0,9,Hybrid,Arbitrage Mutual Funds,5,5.7,1.31,1.61,1,Low,0.4129091649201471
Edelweiss Balanced Advantage Fund,Edelweiss Mutual Fund,Bhavesh Jain,500,5000,0.51,8780.0,10,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,12.0,1.48,3.31,6,High,0.4269967814549059
Edelweiss Banking & Psu Debt Fund,Edelweiss Mutual Fund,Dhawal Dalal,500,5000,0.26,355.0,10,Debt,Banking and PSU Mutual Funds,2,7.9,0.55,0.78,3,Medium,0.2645567748620581
Edelweiss Equity Savings Fund,Edelweiss Mutual Fund,Bharat Lahoti,500,5000,0.7,258.0,8,Hybrid,Equity Savings Mutual Funds,5,9.0,1.53,3.22,4,Medium,0.4193775230705851
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,Edelweiss Mutual Fund,Bhavesh Jain,500,5000,1.5,83.0,9,Other,FoFs Overseas,0,7.6,0.93,1.64,6,High,0.15973606286884856
Edelweiss Flexi Cap Fund,Edelweiss Mutual Fund,Trideep Bhattacharya,500,5000,0.56,1056.0,8,Equity,Flexi Cap Funds,3,12.1,1.46,3.41,6,High,0.3606207487142225
Edelweiss Govt Securities Fund,Edelweiss Mutual Fund,Dhawal Dalal,500,5000,0.66,119.0,9,Debt,Gilt Mutual Funds,5,8.2,0.88,1.63,3,Medium,0.3856739146828104
Edelweiss Greater China Equity Off-Shore Fund,Edelweiss Mutual Fund,Bhavesh Jain,500,5000,1.44,1897.0,10,Other,FoFs Overseas,0,6.1,0.3,0.6,6,High,0.14351444837283023
Edelweiss Large & Mid Cap Fund,Edelweiss Mutual Fund,Abhishek Gupta,500,5000,0.6,1711.0,10,Equity,Large & Mid Cap Funds,4,13.2,1.47,3.56,6,High,0.42218949380162035
Edelweiss Large Cap Fund,Edelweiss Mutual Fund,Bharat Lahoti,500,5000,0.93,399.0,10,Equity,Large Cap Mutual Funds,4,12.8,1.4,3.25,6,High,0.4016683468682335
Edelweiss Liquid Fund,Edelweiss Mutual Fund,Rahul Dedhia,500,5000,0.15,1543.0,10,Debt,Liquid Mutual Funds,4,5.4,1.08,6.74,3,Medium,0.4032358846290709
Edelweiss Long Term Equity Fund,Edelweiss Mutual Fund,Trideep Bhattacharya,500,500,0.69,209.0,10,Equity,ELSS Mutual Funds,3,10.2,1.39,3.18,6,High,0.3482127780944891
Edelweiss Mid Cap Fund,Edelweiss Mutual Fund,Trideep Bhattacharya,500,5000,0.57,2530.0,10,Equity,Mid Cap Mutual Funds,4,14.0,1.73,3.85,6,High,0.4393647868730619
Edelweiss Money Market Fund,Edelweiss Mutual Fund,Dhawal Dalal,500,5000,0.26,346.0,10,Debt,Money Market Funds,1,7.3,1.03,2.05,2,Low,0.24877305395082727
Edelweiss Overnight Fund,Edelweiss Mutual Fund,Rahul Dedhia,500,5000,0.1,480.0,4,Debt,Overnight Mutual Funds,2,3.9,0.01,0.08,1,Low,0.18943170541521331
Edelweiss Recently Listed IPO Fund,Edelweiss Mutual Fund,Bhavesh Jain,500,5000,0.61,859.0,5,Equity,Sectoral / Thematic Mutual Funds,0,10.9,1.09,1.63,6,High,0.18757554392009165
Edelweiss Small Cap Fund,Edelweiss Mutual Fund,Sahil Shah,500,5000,0.6,1458.0,4,Equity,Small Cap Mutual Funds,4,42.5,1.98,4.17,6,High,0.5622208558730979
Edelweiss US Value Equity Offshore Fund,Edelweiss Mutual Fund,Bhavesh Jain,500,5000,1.43,90.0,10,Other,FoFs Overseas,0,11.5,1.03,2.17,6,High,0.19689230927199286
Franklin Build India Fund,Franklin Templeton Mutual Fund,Ajay Argal,500,5000,1.3,1184.0,10,Equity,Sectoral / Thematic Mutual Funds,3,13.3,1.6,3.18,6,High,0.36803226521878646
Franklin India Banking & PSU Debt Fund,Franklin Templeton Mutual Fund,Umesh Sharma,500,5000,0.16,712.0,9,Debt,Banking and PSU Mutual Funds,2,7.2,0.7,1.06,2,Low,0.2686398041088874
Franklin India Bluechip Fund,Franklin Templeton Mutual Fund,Anand Radhakrishnan,500,5000,1.01,6205.0,10,Equity,Large Cap Mutual Funds,2,9.7,1.28,2.72,6,High,0.30929907653169875
Franklin India Corporate Debt Fund,Franklin Templeton Mutual Fund,Santosh Kamath,500,10000,0.21,748.0,10,Debt,Corporate Bond Mutual Funds,3,7.0,1.02,1.65,2,Low,0.32895842899433847
Franklin India Debt Hybrid Fund,Franklin Templeton Mutual Fund,Rajasa Kakulavarapu,500,10000,0.57,246.0,10,Hybrid,Conservative Hybrid Mutual Funds,3,7.0,1.42,2.98,4,Medium,0.33858419455047384
Franklin India Dynamic Asset Allocation FoFs-Dir-G,Franklin Templeton Mutual Fund,Rajasa Kakulavarapu,500,5000,0.46,1103.0,10,Other,FoFs Domestic,3,9.2,1.39,1.87,4,Medium,0.34914369988198013
Franklin India Equity Advantage Fund,Franklin Templeton Mutual Fund,R Janakiraman,500,5000,1.37,2556.0,10,Equity,Large & Mid Cap Funds,2,9.2,1.43,3.41,6,High,0.30483020809812666
Franklin India Equity Hybrid Fund,Franklin Templeton Mutual Fund,Rajasa Kakulavarapu,500,5000,1.2,1347.0,10,Hybrid,Aggressive Hybrid Mutual Funds,3,11.0,1.51,3.24,6,High,0.3582367463535913
Franklin India Equity Savings Fund,Franklin Templeton Mutual Fund,Rajasa Kakulavarapu,500,5000,0.71,153.0,5,Hybrid,Equity Savings Mutual Funds,3,14.0,1.53,3.01,3,Medium,0.34254140775378633
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,Franklin Templeton Mutual Fund,Sandeep Manam,500,5000,0.72,2880.0,10,Other,FoFs Overseas,0,11.6,0.5,0.95,6,High,0.1994621773199149
Franklin India Flexi Cap Fund,Franklin Templeton Mutual Fund,Anand Radhakrishnan,500,5000,1.1,9989.0,10,Equity,Flexi Cap Funds,4,12.0,1.6,3.27,6,High,0.4173179526962036
Franklin India Floating Rate Fund,Franklin Templeton Mutual Fund,Pallab Roy,500,1000,0.21,311.0,10,Debt,Floater Mutual Funds,4,6.2,1.58,2.6,2,Low,0.3864161798197808
Franklin India Focused Equity Fund,Franklin Templeton Mutual Fund,Ajay Argal,500,5000,1.16,8022.0,10,Equity,Focused Funds,4,12.9,1.43,3.17,6,High,0.41249278359056174
Franklin India G-Sec Fund,Franklin Templeton Mutual Fund,Sachin Padwal Desai,500,10000,0.57,121.0,10,Debt,Gilt Mutual Funds,2,6.3,0.04,0.04,3,Medium,0.22364036326654663
Franklin India Liquid Fund,Franklin Templeton Mutual Fund,Pallab Roy,500,10000,0.13,1511.0,10,Debt,Liquid Mutual Funds,3,5.4,0.9,4.44,2,Low,0.3412863624001911
Franklin India Multi-Asset Solution Fund,Franklin Templeton Mutual Fund,Rajasa Kakulavarapu,500,5000,0.44,45.0,8,Other,FoFs Domestic,1,5.3,0.39,0.34,4,Medium,0.1736908409065289
Franklin India NSE Nifty 50 Index Fund,Franklin Templeton Mutual Fund,Varun Sharma,500,5000,0.24,482.0,10,Other,Index Funds,3,11.6,1.3,3.44,6,High,0.3670168219984278
Franklin India Opportunities Fund,Franklin Templeton Mutual Fund,R Janakiraman,500,5000,1.79,657.0,10,Equity,Sectoral / Thematic Mutual Funds,0,11.5,1.58,3.45,6,High,0.22790319331823738
Franklin India Overnight Fund,Franklin Templeton Mutual Fund,Pallab Roy,500,5000,0.1,152.0,4,Debt,Overnight Mutual Funds,2,3.8,-0.18,-0.89,1,Low,0.16970463965022825
Franklin India Prima Fund,Franklin Templeton Mutual Fund,R Janakiraman,500,5000,1.06,7359.0,10,Equity,Mid Cap Mutual Funds,2,10.0,1.36,3.06,6,High,0.31560900021402943
Franklin India Savings Fund,Franklin Templeton Mutual Fund,Umesh Sharma,500,10000,0.1,1084.0,10,Debt,Money Market Funds,3,6.1,1.5,3.34,2,Low,0.3565920048498113
Franklin India Smaller Companies Fund,Franklin Templeton Mutual Fund,R Janakiraman,500,5000,1.03,7308.0,10,Equity,Small Cap Mutual Funds,2,11.2,1.91,3.36,6,High,0.3437123110460143
Franklin India Taxshield – Direct Growth,Franklin Templeton Mutual Fund,R Janakiraman,500,500,1.12,4584.0,10,Equity,ELSS Mutual Funds,3,11.4,1.49,3.21,6,High,0.365371930675571
Franklin India Technology Fund,Franklin Templeton Mutual Fund,Anand Radhakrishnan,500,5000,1.22,712.0,10,Equity,Sectoral / Thematic Mutual Funds,0,15.9,1.24,1.91,6,High,0.2395491688721968
HDFC Arbitrage Fund,HDFC Mutual Fund,Arun Agarwal,100,100,0.43,5886.0,9,Hybrid,Arbitrage Mutual Funds,2,5.2,0.82,0.99,1,Low,0.2683352261022986
HDFC Balanced Advantage Fund,HDFC Mutual Fund,Gopal Agrawal,100,100,0.88,51042.0,10,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,12.9,1.6,3.38,6,High,0.4362685333028247
HDFC Banking and PSU Debt Fund,HDFC Mutual Fund,Anil Bamboli,100,100,0.39,4805.0,9,Debt,Banking and PSU Mutual Funds,4,7.2,0.98,1.74,2,Low,0.36874692833084877
HDFC Capital Builder Value Fund,HDFC Mutual Fund,Gopal Agrawal,100,100,1.04,5227.0,10,Equity,Value Funds,2,11.3,1.53,3.26,6,High,0.32897863130197813
HDFC Children’s Gift Fund,HDFC Mutual Fund,Chirag Setalvad,100,100,0.96,6157.0,10,Solution Oriented,Childrens Funds,0,12.9,1.87,4.11,6,High,0.2796022916593151
HDFC Corporate Bond Fund,HDFC Mutual Fund,Anupam Joshi,100,100,0.32,23486.0,10,Debt,Corporate Bond Mutual Funds,3,7.3,0.99,1.59,3,Medium,0.3443329211434613
HDFC Credit Risk Debt Fund,HDFC Mutual Fund,Shobhit Mehrotra,100,100,0.95,8437.0,9,Debt,Credit Risk Funds,3,7.7,1.3,1.5,4,Medium,0.33353602683919675
HDFC Dynamic Debt Fund,HDFC Mutual Fund,Anil Bamboli,100,100,0.49,527.0,10,Debt,Dynamic Bond,4,6.1,0.79,2.3,3,Medium,0.3528108208213273
HDFC Dynamic PE Ratio Fund,HDFC Mutual Fund,Srinivasan Ramamurthy,100,100,0.22,30.0,10,Other,FoFs Domestic,4,11.1,1.8,4.11,5,High,0.4154687577769852
HDFC Equity Savings Fund,HDFC Mutual Fund,Anil Bamboli,100,100,1.1,2524.0,10,Hybrid,Equity Savings Mutual Funds,4,8.8,1.61,3.67,4,Medium,0.39988316135816426
HDFC Flexi Cap Fund,HDFC Mutual Fund,Roshi Jain,100,100,1.0,31672.0,10,Equity,Flexi Cap Funds,4,14.0,1.56,3.4,6,High,0.43470994125920787
HDFC Floating Rate Debt Fund,HDFC Mutual Fund,Shobhit Mehrotra,100,100,0.26,14785.0,10,Debt,Floater Mutual Funds,4,6.9,1.76,3.33,3,Medium,0.4201036808999007
HDFC Focused 30 Fund,HDFC Mutual Fund,Roshi Jain,100,100,0.54,3609.0,10,Equity,Focused Funds,3,11.9,1.71,3.93,6,High,0.39055636195889737
HDFC Gilt Fund,HDFC Mutual Fund,Anil Bamboli,100,100,0.46,1739.0,10,Debt,Gilt Mutual Funds,2,6.4,0.34,0.43,3,Medium,0.25280936076491434
HDFC Gold Fund,HDFC Mutual Fund,Nirman Morakhia,100,100,0.18,1402.0,10,Other,FoFs Domestic,5,13.4,0.47,1.03,5,High,0.4187350172003229
HDFC Housing Opportunities Fund,HDFC Mutual Fund,Rakesh Vyas,100,100,1.28,1081.0,5,Equity,Sectoral / Thematic Mutual Funds,0,7.9,1.23,2.5,6,High,0.16992683564702069
HDFC Hybrid Debt Fund,HDFC Mutual Fund,Shobhit Mehrotra,100,100,1.33,2695.0,10,Hybrid,Conservative Hybrid Mutual Funds,3,8.4,1.74,3.46,4,Medium,0.35763840555789994
HDFC Hybrid Equity Fund,HDFC Mutual Fund,Chirag Setalvad,100,100,1.09,18729.0,10,Hybrid,Aggressive Hybrid Mutual Funds,3,11.3,1.6,3.42,6,High,0.37945561021206886
HDFC Income Fund,HDFC Mutual Fund,Shobhit Mehrotra,100,100,0.51,528.0,10,Debt,Medium to Long Duration Funds,3,6.1,0.34,0.43,3,Medium,0.2838713649120417
HDFC Index Fund,HDFC Mutual Fund,Nirman Morakhia,100,100,0.2,4210.0,10,Other,Index Funds,4,12.8,1.31,3.48,6,High,0.42590179357178226
HDFC Index Fund,HDFC Mutual Fund,Nirman Morakhia,100,100,0.2,7457.0,10,Other,Index Funds,3,12.0,1.28,3.24,6,High,0.38172790451616967
HDFC Infrastructure Fund,HDFC Mutual Fund,Rakesh Vyas,100,100,1.75,593.0,10,Equity,Sectoral / Thematic Mutual Funds,1,5.3,1.3,3.12,6,High,0.22019194980289727
HDFC Large and Mid Cap Fund,HDFC Mutual Fund,Gopal Agrawal,100,100,1.03,7897.0,10,Equity,Large & Mid Cap Funds,3,12.8,1.55,3.56,6,High,0.3815776044085277
HDFC Liquid Fund,HDFC Mutual Fund,Anupam Joshi,300,5000,0.2,49008.0,10,Debt,Liquid Mutual Funds,2,5.3,0.79,3.68,2,Low,0.3081435664670438
HDFC Low Duration Fund,HDFC Mutual Fund,Anupam Joshi,100,100,0.43,14779.0,10,Debt,Low Duration Funds,4,6.7,1.73,3.31,2,Low,0.4147438729991045
HDFC Medium Term Debt Fund,HDFC Mutual Fund,Shobhit Mehrotra,100,100,0.58,3538.0,10,Debt,Medium Duration Funds,3,7.4,1.01,1.34,4,Medium,0.3291080634944702
HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Chirag Setalvad,100,100,0.95,35009.0,10,Equity,Mid Cap Mutual Funds,3,13.1,1.77,3.64,6,High,0.4009254706344231
HDFC Money Market Fund,HDFC Mutual Fund,Vikas Agrawal,100,100,0.21,15176.0,10,Debt,Money Market Funds,3,6.3,1.89,4.85,3,Medium,0.3930580046704823
HDFC Multi-Asset Fund,HDFC Mutual Fund,Srinivasan Ramamurthy,100,100,0.88,1643.0,10,Hybrid,Multi Asset Allocation Mutual Funds,4,10.9,1.6,4.21,6,High,0.4150824747657003
HDFC Overnight Fund,HDFC Mutual Fund,Anil Bamboli,300,100,0.1,20146.0,10,Debt,Overnight Mutual Funds,2,4.6,-0.09,-0.53,1,Low,0.24218276323273305
HDFC Retirement Savings Fund,HDFC Mutual Fund,Srinivasan Ramamurthy,100,100,0.78,2696.0,7,Solution Oriented,Retirement Funds,5,14.8,1.92,4.32,6,High,0.47204058258105863
HDFC Retirement Savings Fund,HDFC Mutual Fund,Srinivasan Ramamurthy,100,100,1.03,932.0,7,Solution Oriented,Retirement Funds,4,12.3,1.88,3.27,6,High,0.4044867714186557
HDFC Retirement Savings Fund,HDFC Mutual Fund,Shobhit Mehrotra,100,100,1.0,140.0,7,Solution Oriented,Retirement Funds,4,7.8,1.74,4.39,4,Medium,0.370843434804735
HDFC Short Term Debt Fund,HDFC Mutual Fund,Anil Bamboli,100,100,0.29,11028.0,10,Debt,Short Duration Funds,3,7.3,1.23,2.33,3,Medium,0.35433465715127754
HDFC Small Cap Fund,HDFC Mutual Fund,Chirag Setalvad,100,100,0.8,14648.0,10,Equity,Small Cap Mutual Funds,3,13.5,1.88,3.75,6,High,0.4050069575097639
HDFC Tax Saver Fund,HDFC Mutual Fund,Roshi Jain,500,500,1.15,9723.0,10,Equity,ELSS Mutual Funds,2,10.3,1.64,3.71,6,High,0.332083478223498
HDFC Top 100 Fund,HDFC Mutual Fund,Rahul Baijal,100,100,1.11,22139.0,10,Equity,Large Cap Mutual Funds,2,11.9,1.39,3.3,6,High,0.33343139289714535
HDFC Ultra Short Term Fund,HDFC Mutual Fund,Anil Bamboli,100,100,0.34,13303.0,5,Debt,Ultra Short Duration Funds,4,5.5,1.93,4.46,3,Medium,0.3931340298299084
HSBC Aggressive Hybrid Fund,HSBC Mutual Fund,Shriram Ramanathan,500,5000,0.87,4636.0,10,Hybrid,Aggressive Hybrid Mutual Funds,2,8.1,1.26,2.41,6,High,0.3008902448184563
HSBC Arbitrage Fund,HSBC Mutual Fund,Ritesh Jain,500,5000,0.29,2344.0,9,Hybrid,Arbitrage Mutual Funds,4,5.5,1.12,1.54,1,Low,0.36205411549039684
HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,HSBC Mutual Fund,Sonal Gupta,500,5000,1.29,8.4,9,Other,FoFs Overseas,0,5.7,0.48,0.87,6,High,0.12221099202257259
HSBC Balanced Advantage Fund,HSBC Mutual Fund,Ritesh Jain,500,5000,0.78,1511.0,10,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3,8.0,1.27,2.95,4,Medium,0.3425991757353119
HSBC Banking and PSU Debt Fund,HSBC Mutual Fund,Jalpan Shah,500,5000,0.23,3779.0,10,Debt,Banking and PSU Mutual Funds,1,6.5,0.47,0.64,3,Medium,0.22642002305490677
HSBC Business Cycles Fund,HSBC Mutual Fund,Venugopal Manghat,500,5000,1.42,535.0,9,Equity,Sectoral / Thematic Mutual Funds,0,8.7,1.46,3.13,6,High,0.20601562054852426
HSBC Conservative Hybrid Fund,HSBC Mutual Fund,Ritesh Jain,500,5000,1.34,122.0,10,Hybrid,Conservative Hybrid Mutual Funds,3,7.5,1.28,2.3,4,Medium,0.3128270358119158
HSBC Corporate Bond Fund,HSBC Mutual Fund,Ritesh Jain,500,5000,0.35,157.0,2,Debt,Corporate Bond Mutual Funds,2,13.3,0.39,0.44,2,Low,0.23131650546676963
HSBC Corporate Bond Fund,HSBC Mutual Fund,Shriram Ramanathan,500,5000,0.29,6772.0,10,Debt,Corporate Bond Mutual Funds,1,7.6,0.47,0.67,3,Medium,0.23482260658229484
HSBC Credit Risk Fund,HSBC Mutual Fund,Shriram Ramanathan,500,5000,0.85,130.0,10,Debt,Credit Risk Funds,3,5.1,0.35,0.33,4,Medium,0.26592455736455206
HSBC Dynamic Bond Fund,HSBC Mutual Fund,Shriram Ramanathan,500,5000,0.29,200.0,10,Debt,Dynamic Bond,3,6.8,0.39,0.44,3,Medium,0.28882754209213474
HSBC ELSS Fund,HSBC Mutual Fund,Cheenu Gupta,500,500,1.16,3007.0,10,Equity,ELSS Mutual Funds,1,8.0,1.33,2.8,6,High,0.25616090908242667
